id_estacion,departamento,provincia,fecha_hora,temperatura_c,humedad_rel_porc,vel_viento_kmh,presion_hpa,precipitacion_mm,condicion_clima
EST-0001,Amazonas,Chachapoyas,2026-08-09 00:00:00,18.6,86.7,3.8,1011.8,0.0,Nublado
EST-0001,Amazonas,Chachapoyas,2026-08-09 01:00:00,18.1,89.3,3.3,1012.0,0.0,Nublado
EST-0001,Amazonas,Chachapoyas,2026-08-09 02:00:00,17.9,89.8,3.8,1012.3,0.0,Nublado
EST-0001,Amazonas,Chachapoyas,2026-08-09 03:00:00,18.3,88.3,3.2,1012.5,0.0,Nublado
EST-0001,Amazonas,Chachapoyas,2026-08-09 04:00:00,18.8,83.8,3.5,1012.7,0.0,Parcialmente nublado
EST-0001,Amazonas,Chachapoyas,2026-08-09 05:00:00,19.5,85.3,3.9,1012.9,0.0,Nublado
EST-0001,Amazonas,Chachapoyas,2026-08-09 06:00:00,20.6,88.8,4.3,1012.8,0.0,Nublado
EST-0001,Amazonas,Chachapoyas,2026-08-09 07:00:00,21.6,74.0,4.3,1012.6,0.0,Parcialmente nublado
EST-0001,Amazonas,Chachapoyas,2026-08-09 08:00:00,23.1,79.8,4.1,1012.4,0.0,Parcialmente nublado
EST-0001,Amazonas,Chachapoyas,2026-08-09 09:00:00,24.2,77.9,4.2,1012.3,0.0,Parcialmente nublado
EST-0001,Amazonas,Chachapoyas,2026-08-09 10:00:00,25.5,69.0,3.8,1012.2,0.0,Soleado y despejado
EST-0001,Amazonas,Chachapoyas,2026-08-09 11:00:00,26.5,69.0,4.5,1012.1,0.0,Soleado y despejado
EST-0001,Amazonas,Chachapoyas,2026-08-09 12:00:00,27.2,66.1,6.2,1012.0,0.0,Soleado y despejado
EST-0001,Amazonas,Chachapoyas,2026-08-09 13:00:00,27.8,71.9,7.0,1012.0,0.0,Parcialmente nublado
EST-0001,Amazonas,Chachapoyas,2026-08-09 14:00:00,27.7,70.3,7.6,1011.7,0.0,Parcialmente nublado
